,brand,name,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating
516,LANVIN PARIS,L'Homme Sport,149.45,100,EDT,Men,Aromatic,"Cedar, Sandalwood, Musk, Amber, Iris, Vetiver, Benzoin, Moss And Spices","Jasmine, Violet, Iris, Ylang-Ylang, Gardenia, Carnation, Rosemary, Orchid And Cloves",4
517,J.CASANOVA,Pandora,79.95,50,EDP,Women,Fruity,"Cedar, Moss, Musk, Amber And Sandalwood","Lily-of-the-valley, Rose, Jasmine, Narcissus And Orchid",5
518,HUGO BOSS,Femme,139.95,75,EDP,Women,Floral,Apricot And Lemon Wood.,"Jasmine And Fleur De Lys, Bulgarian Rose",4.8
519,Calvin Klein,Secret Obsession,163.95,100,EDP,Women,Woody,"Burnt Amber, Cashere Woods, Vanilla and Sandalwood","Jasmine, Orange Flower and Tuberose",5
520,AZZARO,Wanted,196.2,100,EDT,Men,Woody,"Haitian vetiver, tonka bean, amberwood","Guatemalan cardamom, juniper, apple, geranium",5
521,Kenneth Cole,Black,177.9,100,EDT,Men,Floral,"Amber, Musk, Violet Leaf And Suede","Nutmeg, Incense, Cedar, Lotus And Exotic Woods",4.5
522,CARTIER,La Panthere,249.25,75,EDP,Women,Fruity,"Oakmoss, Musk, Leather, Patchouli","Gardenia, Rose, Ylang-Ylang, Orange Blossom, Pear",4.3
523,adidas,Victory League,30.55,100,EDT,Men,Vanilla,"Cedarwood,Vanilla and Musk","Lavender, Pear and Cinnamon",4.6
524,S.T.Dupont,Dupont,83.9,100,EDT,Men,Spicy,"Heliotrope, Musk, Lignum Vitae And Amber","Essence Of Birch, Iris And Cedar Wood",4.4
525,PENHALIGON'S,Portraits George,886,75,EDP,Men,Woody,Tonka Beans,Shaving Soap,5
526,BURBERRY,London,140,50,EDP,Women,Floral,"Sandalwood, Musk and Patchouli","Tiare Flower, Jasmine and Peony and a Hint of Fresh Clementine Zest",4.6
527,HUGO BOSS,Bottled Unlimited,126,100,EDT,Men,Vanilla,Sandalwood And Musk,Pineapple And Rose,4.4
528,CHANEL,Bleu De Chanel,245,100,EDT,Men,Citrus,"Labdanum, Sandalwod, Patchouli, Vetiver, Incense, Cedar, White Musk","Ginger, Iso E Super, Nutmeg, Jasmine",4.8
529,Laura Biagiotti,Roma Uomo,173.8,125,EDT,Men,Citrus,"Cedarwood, Patchouli, Sandalwood and Benzoin","Jasmine, Heliotrope, Juniperberry and Balsam Fir",4.5
530,Juicy Couture,Viva La Juicy,151.8,100,EDP,Women,Floral,"Amber, Caramel, Praline, Sandalwood and Vanilla","Honeysuckle, Gardenia and Jasmine",4.8
531,joop,Homme,60,125,EDT,Men,Citrus,"Vanilla, tonka bean, patchouli, sandalwood","Jasmine, lili of the valley, heliotrope",3.5
532,NARCISO RODRIGUEZ,Narciso Rodriguez,207,50,EDP,Women,Floral,"Patchouli,Sandalwood","Amber,Musk",5
533,Dolce & Gabbana,3 L'Imperatrice,157.65,100,EDT,Women,Floral,"Musk, Sandalwood, Lemon Tree","Watermelon, Cyclamen, Jasmine",4
534,PRADA,Amber Intense,321.95,100,EDP,Men,Spicy,Creamy Amber,Vanilla,4.4
535,CHOPARD,Wish,83.9,75,EDP,Women,Arabian,"Voluptuous Sensuality, Living Temple Incense, Amber, Vanilla Bean, Toffee, Tonka Bean","Floral Bouquet, Living Patchouli Flower, Magnolia, Jasmine, Living Osmanthus Flower",4.8
536,AZZARO,Visit,110,100,EDT,Men,Woody,"Amber, musk","Labdanum, guaiac wood, incense, cedar",1
537,Rasasi,Blue Lady,27,40,EDP,Women,Floral,"Sandalwood, Vetiver, Vanilla, Amber And Musk","Peach, Plum, Narcissus And Jasmine",4.5
538,CHANEL,Bleu De Chanel,374,100,EDP,Men,Woody,"Incense, Amber, Cedar, Sandalwood, Patchouli, Labdanum, Amber wood","Ginger, Jasmine, Nutmeg, Melon",4.7
539,MINI COLLECTION,2.2 s..y  No.1139 Eau De Par,16.9,25,EDP,Women,Jasmine,balsamic,bakhoor,5
540,GUESS,Dare,79.9,100,EDT,Men,Spicy,"Musk, Patchouli And Cedar Wood","Flowers Herb Shepherd, Cashmere and Jasmine",4.3
541,Mancera,Musky Garden,297.65,120,EDP,Women,Floral,"White Musk, Blackberry, Raspberry and Amber","Iris, Bulgarian Rose, Indian Jasmine and Patchouli Leaf",5
542,LACOSTE,Eau De Lacoste,139,90,EDP,Women,Floral,"Sandalwood, Vetiver, Vanilla and Peru Balsam","Pineapple Flower, Sambac Jasmine, Rose and Orange Flower",4.6
543,Geoffrey Beene,Grey Flannel,82.9,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver and Cedar","mimosa, iris, violet, sage, rose, geranium and Narcissus",5
544,BURBERRY,Burberry Body,148.3,85,EDP,Women,Fruity,"Sandalwood, Cashmerean, Musk, Amber And Vanilla",Roses And Iris,5
545,JAGUAR,Classic,63.75,100,EDT,Men,Arabian,"Sandalwood, Benzoin And White Musk","Ginger, Orange Blossom And Lotus",4.4
546,DAVIDOFF,Cool Water,71.75,75,EDT,Men,Aromatic,"Musk, Oakmoss, Cedar, Amber","Sandalwood, Geranium, Neroli, Jasmine",4.1
547,GUESS,Marciano,83.3,100,EDP,Women,Citrus,"Vanilla, Musk And Woody Accords","Floral Rhythm Of Peony, Pink Honeysuckle And Intensively Clean And Sweet Jasmine",4.4
548,jennifer lopez,Still,108.3,100,EDP,Women,Floral,"Lily Of The Valley, Woody, Musky","Freesia, Rose, Jasmine, Orange Blossom",4
549,Armaf,Club De Nuit Intense,190,200,EDP,Men,Jasmine,"Vanilla, Ambergris, Musk, Patchouli","Rose, Jasmine, Birch",5
550,Genie,1029 Collection,14.4,25,EDP,Women,Fruity,"Vegetal Amber, Musk And Mahogany","Magnolia, Lotus And Peony",4
551,cacharel,Anais Anais Loriginal,157.1,50,EDT,Women,Fruity,"Vetiver, Moss, Sandalwood, Musk and Black Currant","Lily, Lily-Of-The-Valley, Rose, Jasmine and Ylang-Ylang",4.5
552,HOUBIGANT,Quelques Fleurs L'Original,285,100,EDP,Women,Floral,"Amber, Civet, Honey, Lichen, Musk, Sandalwood, Tonka Beans, Vanilla","Carnation, Heliotrope, Iris Root, Jasmine, Lilac, Lily Of The Valley, Orchid, Tuberose, Violet, Ylang-ylang",5
553,Dolce & Gabbana,The One Royal Night,290.75,100,EDP,Men,Woody,"Sandalwood, Cedar, Amber and Labdanum",Pear Wood and Nutmeg,5
554,Givenchy,Xeryus Rouge,199,100,EDT,Men,Woody,"Leather, amber, musk, oakmoss, balsam fir, vetiver, incense and cedar","Cyclamen, coriander, carnation, cypress, sandalwood, juniper berries, cinnamon, tarragon, petitgrain and geranium",4.4
555,Ajmal,Sacrifice,70,50,EDP,Women,Floral,"Woody, Oriental, Musky","Floral, Musky",4.6
556,Estee Lauder,Beautiful,181.2,75,EDP,Women,Floral,"Sandalwood, Vetiver and Amber","Orange Flower, Muguet, Jasmine and Ylang-Ylang",4.6
557,Armaf,Club De Nuit Intense Man,124.3,105,EDT,Men,Citrus,"Amber, Agarwood, Vanilla And Patchouli","Caraway, Nutmeg, Violet And Pepper",5
558,Mancera,Roses Vanille,248.85,120,EDP,Women,Vanilla,"Vanilla, Sugar, White Musk, Cedar","Rose, Sugar",5
559,DORALL COLLECTION,DC,9.3,100,EDT,Men,Floral,"Vetiver, Patchouli, Oakmoss, Musk, Sandalwood","Galbanum, Rosemary, Jasmine, Coumarin",4
560,COACH,New York,5.6,2,EDT,Men,Citrus,"Vetiver, Suede, Ambergris","Cardamom, Coriander, Geranium",4.7
561,GIORGIO ARMANI,Code,265,75,EDT,Men,Citrus,"Tobacco, Leather and Tonka Bean",Olive Flower Spiced With Star Anise,5
562,Van Cleef & Arpels,First,171.5,100,EDT,Women,Floral,"Honey, Sandalwood, Tonka, Bean, Amber, Musk, Civet, Vanilla, Oakmoss","Carnation, Tuberose, Orchid, Orris, Root, Jasmine, Hyacinth, Turkish, Rose, Ylang-Ylang, Lily-Of-The-Valley, Narcissus",5
563,LOEWE,Esencia,200,100,EDT,Men,Woody,"Cedar, Musk, Sandalwood","Cardamom, Pepper",4.5
564,Parfums De Marly,Delina Exclusive,785,75,EDP,Women,Woody,"Woody, Amber, Vanilla","Turkish Rose, Incense, Burning Oud",4
565,ESCADA,Especially Elixir,198.5,75,EDP,Women,Woody,"Dry Amber, Madagascar Vanilla, Patchouli, Cashmere and Dry Amber","Ylang Ylang, Turkish Rose and Plums",4.3
566,JAGUAR,Classic Blue,67,100,EDT,Men,Spicy,"Sandalwood, Benzoin, White Musk","Ginger, Orange Blossom, Lotus",4.7
567,NICOLAI,Patchouli Intense,653.65,100,EDP,Unisex,Floral,"Sandalwood, Amber, Vanilla","Ceylon Cinnamon, Rose, Patchouli",5
568,COACH,Floral,173.6,90,EDP,Women,Floral,"Musk, Patchouli, Sandalwood, Vanilla and Woody Notes","Gardenia, Hedione, Jasmine Sambac and Tea Rose",4.6
569,VERSACE,The Dreamer,135.7,100,EDT,Men,Arabian,"Cedar, Tonka Bean","Geranium, Rose, Tobacco",4
570,Aramis,900 Herbal Spray,100,100,EDC,Men,Woody,"Sandalwood, Amber, Patchouli, Civet, Oakmoss Vetiver","Carnation, Orris Root, Jasmine, Lily-of-the-Valley, Rose Geranium",4
571,Fendi,L'Acquarossa,238.5,75,EDP,Women,Musk,Red Cedar White Musk And Patchouli,"Lantana Flower,  Rose Orange Blossom And Magnolia",5
572,Roberto Cavalli,Florence,139.5,50,EDP,Women,Floral,"Amber, Musk, Patchouli","Grapefruit Blossom, Hibiscus Seeds, Orange Blossom",4.4
573,Dolce & Gabbana,Light Blue,220.25,100,EDT,Women,Floral,"Musk Wood, Incense, Oakmoss",Jasmine And White Rose,4.5
574,Estee Lauder,Pleasures Intense,259.9,100,EDP,Women,Floral,"Maple,VanillaStyrax,Benzoin","Lily,Tiare Flower,Jasmine,Moroccan Rose",4.6
575,Ajmal,Wisal,58,50,EDP,Women,Floral,"Rose, Sensual Musk",Sandalwood,5
576,Dior,Sauvage,337.9,100,EDP,Men,Arabian,"Ambroxan, Vanilla","Sichaun Pepper, Lavender, Star Anise, Nutmeg",4
577,S.T.Dupont,Passenger,99,100,EDT,Men,Spicy,"Paraguayan Lignum Vitae, Indonesian Patchouli, Laotian Benzoin And Copper Accords","Indian Ginger,  Guatemalan Cardamom, Mauritanian Red Pepper And Lavender",5
578,BVLGARI,Goldea The Roman Night Absolute,261.5,75,EDP,Women,Floral,"Black Musk, Moss, Patchouli","Jasmin Sambac, Madagascar Vanilla",4
579,HUGO BOSS,Hugo,99,125,EDT,Men,Fresh,"Patchouli, Fir and Cedar","Carnation, Sage, Geranium and Jasmine",4.5
580,BVLGARI,Petits Et Mamans,193.95,100,EDT,Women,Floral,"Iris, Vanilla, White Peach, Powdery Notes","Sunflower, Chamomile, Rose",4.8
581,DORALL COLLECTION,Eternally Hot,8,100,EDT,Women,Woody,"Vanilla, Musk","Gardenia, Jasmine",4.5
582,Dunhill,Desire,54.95,30,EDT,Men,Fresh,"Vanilla, Musk And Labdanum","Rose, Teakwood And Patchouli",4.8
583,marbert man,Marbert Man,68.8,125,EDT,Men,Woody,"Musk, Sandalwood, Cedar, Oakmoss","Carnation, Cinnamon, White Honey",3.3
584,AVON,Always,84,50,EDP,Women,Floral,Cashmere Woods,Orange Blossoms,5
585,Aramis,Brown,94.15,110,EDT,Men,Woody,"Leather, Oakmoss, Amber","Pelargonium, Patchouli, Vetiver and Sandalwood",5
586,GUESS,By Marciano,109.95,100,EDP,Women,Floral,"Musk, Vanilla and Woody Notes","Peony, Jasmine and Honeysuckle",5
587,LALIQUE,Encre Noire,134.95,100,EDT,Men,Woody,Cashmere Wood And Musk,Haiti Vetiver And Bourbon Vetiver,4.5
588,GIORGIO ARMANI,Si Passione,246.5,100,EDP,Women,Floral,"Cedar, Vanilla, Amberwood and Patchouli","Heliotrope, Pine Apple, Jasmine and Rose",4.8
589,CARTIER,Declaration Essence,173.6,100,EDT,Men,Citrus,"Vetiver, Sandalwood, Musk, Amber","Geranium, Lemon, Sicilian Lemon",4.5
590,Sedr Al-Khaleej Perfumes,For Ever,34.85,100,EDP,Men,Fresh,"Woody, Musk, Amber","Praline, Cardamom, Cinnamon",4
591,Givenchy,Organza,251.65,100,EDP,Women,Arabian,"Guaiac Wood, Woodsy Notes, Virginia Cedar, Amber, Vanilla","Peony, Walnut, Iris, Jasmine, Tuberose, Honeysuckle",4.8
592,Roberto Cavalli,Uomo,126,100,EDT,Men,Floral,"Cedar, Tonka Bean, Patchouli","Honey, Lavender",4.6
593,DKNY,Be Delicious Red,314.9,100,EDP,Women,Floral,"Leather, Vanilla Pod, Amber","Patchouli, Apple, Rose",4.6
594,MONTBLANC,Mont Blanc Legend,140,100,EDT,Men,Floral,"Vanilla, Amber","Jasmine, Geranium, Neroli and Ylang-Ylan",4.8
595,ANGEL SCHLESSER,Schlesser Essential,165.4,100,EDT,Men,Fruity,"Leather, Tonka Bean, Musk And Cedar","Cinnamon, Coffee And Violet Leaf",4.3
596,Dunhill,Desire Extreme,114.75,100,EDT,Men,Spicy,"Amber, Musk",Evergreen Cypress,4.9
597,GUCCI,Flora,179.8,50,EDT,Women,Citrus,Patchouli,"Gardenia, Plumeria",4.5
598,HUGO BOSS,Just Different,144.25,125,EDT,Men,Spicy,Cashmeran and Fir,Freesia and Basil,5
599,Ajmal,Alf Laila O Laila,153.3,60,EDP,Unisex,Woody,Musky Woody,Floral Spicy,5
600,PRADA,Amber,252.05,100,EDT,Men,Arabian,"Neroli, Orange Blossom, Earthy Vetiver, Saffron","Patchouli, Tonka Bean, Lovely Vanilla",5
601,COACH,Floral,165.75,90,EDP,Women,Floral,"Patchouli, Woody Notes And Musk","Tea Rose, Jasmine Sambac And Gardenia",5
602,Roberto Cavalli,Uomo,134.95,100,EDT,Men,Floral,"Cedar, Patchouli, Tonka Bean","Honey, Lavender",4.6
603,DIESEL,Plus Plus Feminine,41,75,EDT,Women,Oriental,"Musk, Sandalwood, Virginia Cedar, Amber, Nutmeg, Vanille And Orris Root","Jasmine, Coconut, Magnolia, Orchid, Lily, Cherry, Big Strawberry, Red Apple And Milk",4.4
604,DORALL COLLECTION,Classic Black,8.8,100,EDT,Men,Fresh,"Chocolate,cashmere Wood, Patchouli, Tonka Bean","Basil, Verbena , Lavender",4
605,Calvin Klein,Beauty,115,100,EDP,Women,Floral,"Vanilla, Musk, Sandalwood, Guaiac Wood And Amber","Cardamom, Pepper And Flowers",5
606,MONTBLANC,Emblem ED,22.4,5,EDT,Men,Spicy,"Woodsy, Tonka Bean","Violet Leaf, Cinnamon",4.8
607,CAROLINA HERRERA,212 Sexy,151,100,EDP,Women,Floral,"Cotton Candy,Musk,Sandalwood,Vanilla","Gardenia,Geranium",4.7
608,BURBERRY,Brit Rhythm,119.95,90,EDT,Men,Woody,Cedarwood and Tonka Bean,"Black Leather, Patchouli and Styrax",4
609,LANVIN,Oxygene,116,75,EDP,Women,Floral,White Musk And Sandalwood,"Rose, Milk, Gardenia",4.3
610,HUGO BOSS,Boss,105,100,EDT,Men,Woody,"Sandalwood, Vetiver, Cedarwood And Vanilla","Geranium, Cinnamon And Cloves",4.7
611,Sedr Al-Khaleej Perfumes,Love Touch Body Sp,12.9,125,EDT,Women,Floral,"Leather,Musk","Tiare Flower,Rose",5
612,S.T.Dupont,Essence Pure,86.2,100,EDT,Men,Citrus,"cypress, amber, musk and cedar","iris, lavender and bamboo",5
613,Genie,London Burberry,16,25,EDP,Women,Floral,Wood And Musk,"Jasmine, Tiare Flower And Soft Peony",4.9
614,CAROLINA HERRERA,212 Vip,160,100,EDT,Men,Vanilla,"King Wood, Salty Amber And Tonka Beans","Chilled Vodka, Hot Ginger And Slice Of Apple",5
615,HUGO BOSS,Bottled Night,170.45,100,EDT,Men,Woody,"Louro Amarelo Wood, Sandalwood And Musky Notes","Cardamom, African Violet And Jasmine",4.5
616,Emper,Tool Box,54.95,100,EDT,Men,Oriental,"Geranium, Amber, White Musks","Patchouli, Vetiver, Lavender",5
617,Shiseido,Zen,260,100,EDP,Women,Floral,"Patchouli, Cedarwood, Skin Musk, White Musk, Marine, Amber And Incense","Freesia, Gardenia, Red Apple, Violet, Lily Of The Valley, Hyacinth, Chinese Rose And Lotus Flower",5
618,Juicy Couture,Viva La Juicy,144,100,EDP,Women,Floral,"Amber, Caramel, Praline, Sandalwood and Vanilla","Honeysuckle, Gardenia and Jasmine",4.7
619,CAROLINA HERRERA,212 S**Y,183.25,100,EDP,Women,Floral,"Bergamot, Gardenia, Pelargonium, Cotton Candy, Flowers","Pelargonium, Cotton Candy, Flowers",5
620,Sedr Al-Khaleej Perfumes,Eghra Perfume,42.8,9,Oil,Women,Jasmine,"Jasmine, Amber, Balsamic","Fruity, Incense, Woody",4
621,COACH,Floral,173.6,90,EDP,Women,Floral,"Musk, Patchouli, Sandalwood, Vanilla and Woody Notes","Gardenia, Hedione, Jasmine Sambac and Tea Rose",4.6
622,MONTBLANC,Lady Emblem,155,75,EDP,Women,Floral,Musk And Raspberry,"Sandalwood, Patchouli And Rosewood",5
623,jennifer lopez,Still,107.8,100,EDP,Women,Floral,"Amber, Orris, Sandalwood","Honeysuckle, Orange Tree Blossom, Pink Freesia",4.8
624,TOM FORD,Black Orchid,211,50,EDP,Women,Spicy,"Incense,Lotus,Patchouli,Sandalwood,Vanilla,Vetiver","Black Orchid,Fruity Notes,Tuberose",5
625,Dolce & Gabbana,Pour Femme,165,100,EDP,Women,Floral,"Marshmallow, Sandalwood, Vanilla",Jasmine And Orange Blossom,5
626,NARCISO RODRIGUEZ,Pure Musc,307.25,100,EDP,Women,Floral,Cashmeran,Flower,5
627,HUGO BOSS,Boss Bottled Man Of Today,177,100,EDT,Men,Woody,"Vanilla, Sandalwood, Vetiver, Cedarwood, Olivewood, Amber-like-notes, Musk-like-notes","Geranium, Cinnamon, Cloves",4.1
628,GUCCI,Flora,196.2,75,EDT,Women,Citrus,Patchouli And Sandalwood,Rose And Osmanthus,5
629,Dolce & Gabbana,The One,189.6,100,EDT,Men,Spicy,"Amber, Cedar, Toacco","Ginger, Orange Blossom, Cardamom",4.3
630,Calvin Klein,Beauty,110,100,EDP,Women,Floral,Virginia Cedar,Jasmine,5
631,CAROLINA HERRERA,Good Girl,242.5,50,EDP,Women,Arabian,"Tonka Bean, Cacao, Vanilla, Praline, Sandalwood, Amber, Cashmere Wood, Musk, Patchouli, Cinnamon, Cedar","Tuberose, Jasmine Sambac, Orris, Orange Blossom, Bulgarian Rose",4.6
632,VERSACE,Versace Pour Homme,163.55,100,EDT,Men,Fresh,"Amber, Tonka Beans And Musk","Geranium, Clary Sage And Blue Hyacinth",4.7
633,CHANEL,Chance Eau Tendre,288.15,100,EDT,Women,Floral,"Amber, Cedar, Musk","Hyacinth, Iris, Jasmine",3.5
634,Ajmal,Wisal,60,50,EDP,Unisex,Floral,"Floral, Musky","Spicy, Floral",5
635,CAROLINA HERRERA,212 Wild Party,232.95,80,EDP,Women,Floral,"Musk, Woody Accord","Orange Blossom, Sun Rose, Orchid",4.5
636,Estee Lauder,Modern Muse Chic,275,100,EDP,Women,Woody,"Cashmere Wood, Agarwood (Oud), Labdanum, Patchouli, Ebony Tree, Musk, Madagascar Vanilla and Suede","Jasmine Sambac, Tuberose and Lily",4.5
637,HUGO BOSS,Boss Orange,112.7,75,EDT,Women,Woody,"Sandalwood, Olive Tree and Vanilla","White Flowers, African Orange Flower",5
638,Dolce & Gabbana,K,269,100,EDT,Men,Woody,"Blood Orange, Pressed Sicilian Lemon And Juniper Berries","Pimento, Clary Sage, Geranium And Lavandin",4.1
639,Mancera,Roses Vanille,229,120,EDP,Women,Oriental,"Sugar, Vanilla, Cedar, White Musk","Rose, Sugar",4
640,DORALL COLLECTION,Lady Dorall,14.75,100,EDT,Women,Spicy,"Apricot, amber, lemon tree","Lily, jasmine, rose",4
641,Aramis,Brown,104,110,EDT,Men,Floral,"Leather, Oakmoss, Amber","Pelargonium, Patchouli, Vetiver, Sandalwood",4
642,Mancera,Red,365,120,EDP,Unisex,Woody And Spicy,"Tobacco, Amber, Guaiac Wood, Sandalwood, Haitian Vetiver, Madagascar Vanilla And White Musk",Patchouli And Jasmine,4.9
643,GIORGIO ARMANI,Acqua Di Gio,195.6,100,EDT,Men,Citrus,Musk And Sandalwood,"Hyacinth, Jasmine, Rose And Lily",4.2
644,MOSCHINO,Cheap And Chic,184.7,100,EDT,Women,Floral,"Tonka Bean, Orchid, Sandalwood Vetiver And Iris Ambergris","Cyclamen, Rose Water, Lily Peony And Violet Jasmine",5
645,CARTIER,Declaration,101.6,100,EDT,Men,Spicy,"Leather, Amber, Tea, Tahitian Vetiver, Oak Moss And Cedar","Iris, Ginger, Cinnamon, Pepper, Juniper, Orris Root, Jasmine And Guatemalan Cardamom",4.5
646,BURBERRY,My Burberry,197.95,90,EDP,Women,Floral and Oriental,Damascus And Centifolia Rose,"Geranium, Freesia Flowers And Golden Quince",4.7
647,joop,Homme,55,125,EDT,Men,Citrus,"Vanilla, tonka bean, patchouli, sandalwood","Jasmine, lily of the valley, heliotrope, cinnamon",4.4
648,Jacques Bogart,One Man Show,40.55,100,EDT,Men,Woody,"Sandalwood, Tonka Bean, Amber, Coconut, Vanilla, Oak Moss, Cedar And Styrax","Labdanum, Nutmeg, Spices, Carnation, Patchouli, Jasmine, Vetiver, Rose, Pine Tree Needles And Geranium",4.5
649,Emper,Lady Presidente,60.15,80,EDP,Women,Fruity,"Coconut, Musk, Sandalwood","Lotus, Water Lily, Raspberry, Star Apple",5
650,NINA RICCI,Mademoiselle Ricci,166.2,80,EDP,Women,Spicy,"Violetwhite Wood, Musk, Amber, Cedar, Violet","Nerium Oleander, Rose Hip, Laurels",4
651,CAROLINA HERRERA,212 VIP Rose,135,80,EDP,Women,Floral,"Woody Notes, White Musk, Amber",Peach Blossom,5
652,CARON,Pour Un Homme De Caron,176,200,EDT,Men,Vanilla,Musk,Vanilla,3
653,CHOPARD,1000 Miglia,153.3,80,EDT,Men,Woody,"Amber, Woody Notes And Coffee","Violet, Green Grass, Asphalt And Leather",1
654,Rasasi,Oud Al-Mubakhar,30.85,100,EDP,Men,Arabian,"Sandalwood, Tonka Bean, Musk, Patchouli","Turkish Rose, Violet, Geranium",4
655,GUCCI,Rush,219.85,75,EDT,Women,Floral,"Vetiver, Patchouli and Vanilla","Jasmine, Damask Rose and Coriander",5
656,Rasasi,Shuhrah,69.7,90,EDP,Women,Floral,"Oud, Patchouli, Grey Amber, Musk","Iris, Jasmine, Lily of the Valley",5
657,BURBERRY,Touch,154.95,100,EDP,Women,Floral,"Almonds,Cedar,Oakmoss,Tonka Beans,Vanilla","Jasmine,Lily,Lily Of The Valley,Peach,Peony,Raspberry,Tuberose",4
658,Marbert,Man Pure,54.7,125,EDT,Men,Citrus,"Oak Moss, Cedar, Sandalwood, Amber And Musk","Geranium, Jasmine, Lily Of The Valley, Majorjam, Coriander And Nutmeg",4.9
659,J.CASANOVA,Plaisir,75,100,EDP,Women,Fresh,"Sandalwood, Musk, Vanilla Orchid And Cedar","Clove, Damascus Plum, Pear And Ylang -ylang",4.5
660,Lattafa,24 Carat Pure Gold,46.5,100,EDP,Unisex,Spicy,"Incense, Amber, Leather, Musk And Vanilla",Rose And Sandalwood,3.5
661,VERSACE,Eau Fraiche,178.1,100,EDT,Men,Woody,"Amber, Musk, Platanus, Saffron, Woody Notes","Cedar, Pepper, Sage",4.4
662,S.T.Dupont,Essence Pure,74.35,100,EDT,Men,Woody,"Cypress, Amber, Musk And Cedar","Iris, Lavender And Bamboo",4.6
663,Mont Blanc,Legend,141.95,100,EDT,Men,Spicy,"Sandalwood, Tonka, And Evernyl","Dried Fruit, Oakmoss Fused With Geranium, Rose And Apple",5
664,Calvin Klein,CK One,107,200,EDT,Men,Citrus,"Sandalwood, Amber, Musk, Cedar, and Oak moss","Nutmeg, Violet, Orris Root, Jasmine, and Lily-Of-The-Valley Rose",4.5
665,LA PERLA,Divina,62,50,EDT,Women,Fruity,"Musk, Amber, Vanilla and Woody notes","Jasmine, African orange and Pink",4.5
666,CARTIER,Santos D Concentree,240.5,100,EDT,Men,Spicy,"Sandalwood, Amber, Coconut, Patchouli, Vanilla and Cedar","Pepper, Nutmeg, Vetiver, Geranium, Rosemary, Cloves and Clary Sage",4.5
667,DORALL COLLECTION,Green Secret,9.5,100,EDT,Men,Fruity,"Moss, Sandalwood, Coumarin","Ylang, Geranium, Jasmine",2
668,DORALL COLLECTION,Lancy,11.85,100,EDT,Women,Spicy,"Tonka, Praline, Patchouli, Vanilla","Iris, Orange Blossom, Jasmine",4.5
669,Lancome,Miracle,200,100,EDP,Women,Arabian,"Amber, Musk and Jasmine","Magnolia, Ginger, Mandarin Orange, Pepper and Jasmine",4.5
670,armani,Code Absolu ED,8.5,2,EDP,Men,Floral,"Vanilla, Amber, Musk, and Patchouli","Jasmine, Geranium, Neroli and Ylang-Ylang",5
671,DAVIDOFF,Cool Water,76.95,125,EDT,Men,Woody,"Amber, Cedar, Musk, Oakmoss, Tobacco","Geranium, Jasmine, Neroli, Sandalwood",4.5
672,LACOSTE,L.12.12 Blanc,88,100,EDT,Men,Woody,"Leather, Suede And Cedar",Mexican Tuberose And Ylang-Ylang,3.7
673,MONTBLANC,Lady Emblem Elixir,176.3,50,EDP,Women,Woody,"Patchouli, Sandalwood and Vanilla","Iris, Orange Blossom, Damask Rose and Jasmine",5
674,BURBERRY,Body,141.35,85,EDP,Women,Woody,"Cashmere Wood, Musk, Amber and Vanille","Iris, Rose and Sandalwood",4.8
675,CARTIER,Declaration Essence,173.6,100,EDT,Men,Citrus,"Vetiver, Sandalwood, Musk, Amber","Geranium, Lemon, Sicilian Lemon",4.5
676,DORALL COLLECTION,Pink Hearts,8.15,100,EDT,Women,Floral,"Caramel, Musk, Tonka, Sandalwood And Vanilla","Red Berries, Lily Of The Valley, Licorice, Cotton Candy And Strawberry",4.4
677,HUGO BOSS,Natural Spray,140,75,EDP,Women,Oriental,"Apricot, Amber, Lemon Tree","Bulgarian Rose, Jasmine, Lily",4
678,Remy Marquis,Remy,57.3,100,EDT,Men,Spicy,"Cedar, Sandalwood, Musk And Amber","Geranium, Cinnamon And Nutmeg",4.5
679,GUCCI,Flora Gardenia,234.5,100,EDT,Women,Citrus,Patchouli and Brown Sugar Accord,White Gardenia and Frangipani Flower,4.5
680,GUCCI,Flora Gorgeous Gardenia,226.8,100,EDT,Women,Citrus,Patchouli,"Gardenia, Plumeria",4.4
681,Calvin Klein,Sheer Beauty Essence,167.95,100,EDT,Women,Floral,"Musk, Vanilla, Cedar","Lilac, Magnolia, Turkish Rose, Peony",4.5
682,DAVIDOFF,The Game,83.95,100,EDT,Men,Woody,Ebony Wood,"Iris, Woody Notes",4.9
683,DORALL COLLECTION,Oud Wood,9.9,100,PDT,Unisex,Citrus,"Cedar, tobacco, patchouli, sandalwood, musk","Geranium, marigold, rose, bay leaves",4.3
684,Mancera,Rose Greedy,269,120,EDP,Unisex,"Rose, Floral","White Musk, Amber, Vanilla, Sugar","Rose, Jasmine, Flowers",4.5
685,ROGER & GALLET,Open,43.4,100,EDT,Men,Spicy,"Lamon, Woody",Sage And Thyme,5
686,LACOSTE,Challenge,144.95,90,EDT,Men,Citrus,"Ginger, Jasmine, Juniper, Nutmeg, Pepper, Violet and Whisky","Amber, Musk and Wood",4.8
687,VERSACE,The Dreamer,135.7,100,EDT,Men,Arabian,"Cedar, Tonka Bean","Geranium, Rose, Tobacco",4
688,Justcavalli,Just Cavalli,131.4,75,EDT,Women,Floral,Cuddly And Creamy Rosewood,Tahitian Tiare Flowers,4.6
